Product_ID,Product_Name,Product_Category,Age_Range,Opening_Balance,Minimum_Balance,Maximum_Balance,Currency,Interest_Rate,Monthly_Fee,Account_Maintenance_Fee,Key_Features,Digital_Channels,Card_Type,Target_Audience,Special_Benefits,Status
PROD001,Zenith Childrens Account (ZECA),Savings Account,0-15 years,0,0,No limit,"Naira, Dollar",Competitive,0,0,"Zero opening balance, Scholarship opportunities, Education loan, Customized prepaid card, Annual Children Parade invitation","Zenith Mobile App, *966# EazyBanking, ZIVA",Customized Prepaid Card (upon parent request),Children aged 0-15 years,"Teaches children to save, Parents can save for child future",Active
PROD002,Aspire Account,Student Savings Account,16-25 years,0,0,"₦25,000,000",Naira,Competitive,0,0,"Zero opening balance, Zero minimum balance, Customized debit card, Discounted card fee ₦500","Zenith Mobile App, *966# EazyBanking, ZIVA",Customized Debit Card,Nigerian undergraduate students aged 16-25,"Enhances student lifestyle, Supports aspirations and dreams",Active
PROD003,Aspire Lite,Student Savings Account,16-25 years,0,0,"₦300,000",Naira,Competitive,0,0,"Less documentation, ₦50,000 max single deposit, ₦20,000 max daily transfer, Aspire Verve debit card","Zenith Mobile App, *966# EazyBanking, ZIVA",Aspire Debit Card (Verve),Students with limited documentation,"Easier account opening, Transaction limits for safety",Active
PROD004,Ethical Savings Account,Savings Account,All ages,0,0,No limit,Naira,0% (Non-interest bearing),0,0,"Virtual account linked to parent account, No interest, 90-day withdrawal restriction, No minimum deposit",Free Email/SMS alerts,N/A,Customers wanting zero-interest savings for specific reasons,"Ethical banking option, Helps save for specific goals without interest",Active
PROD005,Zenith Individual Current Account,Current Account,18+ years,0,0,No limit,Naira,0%,Standard,Standard,"Zero opening balance, Dividend/draft lodgment, Email/SMS alerts (AlertZ), Free digital banking access","Zenith Internet Banking, Mobile Banking, *966# EazyBanking, ZIVA",Zenith Debit and Credit Cards,Individual customers needing flexible banking,Flexibility to bank anywhere in the world,Active
PROD006,Zenith Gold Premium Current Account,Premium Current Account,18+ years,"₦1,000,000","₦1,000,000",No limit,Naira,Interest yielding on ₦1M+ balance,0,0,"Zero AMF, Interest yielding, Gold Premium debit card with higher limits, $2,000 purchase insurance","Zenith Internet Banking, Mobile Banking, *966# EazyBanking, ZIVA",Gold Premium Debit Card,High-net-worth individuals seeking wealth building,"Maximum interest on daily balances, Minimal transaction charges",Active
PROD007,Zenith Platinum Premium Current Account,Premium Current Account,18+ years,"₦3,000,000","₦3,000,000",No limit,Naira,Interest yielding on ₦3M+ balance,0,0,"Zero AMF, Platinum debit card, Priority Pass for 600+ VIP lounges, $2,000 purchase insurance, Emergency card replacement","Zenith Internet Banking, Mobile Banking, *966# EazyBanking, ZIVA",Platinum Premium Debit Card,Ultra high-net-worth individuals with aggressive wealth-building goals,"MasterCard Moments privileges, Priority airport lounge access worldwide",Active
PROD008,EazySave Classic Account,Savings Account,All ages,0,0,"₦300,000",Naira,Standard,0,0,"Zero opening balance, Max single deposit ₦50,000, Max cumulative balance ₦300,000, Zenith debit card","Zenith Mobile App, *966# EazyBanking, ZIVA",Zenith Debit Card,Individuals with minimal identification (NIN or BVN + photo),"Facilitates financial inclusion, Easy account opening",Active
PROD009,SME Grow My Biz Account,Business Account,18+ years,Standard,Standard,No limit,Naira,Business rate,Discounted,Discounted,"Customized business cards (MasterCard/Visa), Small business loans, Free TIN, Free chequebook, Free Google listing","QR codes, GlobalPay, X-Path, 3rd party collections",Customized Business Card (MasterCard and Visa),Small and medium enterprises,"Business training, Webinars, Collections solutions, Business-centric services at discounted rates",Active
PROD010,Zenith Individual Savings Account,Savings Account,18+ years,0,0,No limit,Naira,Competitive monthly interest,0,Standard,"Zero opening balance, Access funds anywhere via digital channels, Competitive monthly interest","Zenith Mobile App, *966# EazyBanking, Debit/Prepaid cards",Debit and Prepaid Cards,Individuals with specific saving goals,"Earn interest while saving, Easy fund access nationwide",Active
